id,cost,power,rules
stature,5,7,Costs 1 if your opponent discarded a card this game.
stegron,4,7,On Reveal: Move an enemy card here one location to the right.
storm,3,2,On Reveal: Flood this location. Next turn is the last turn cards can be played here.
stormbreaker,0,3,On Reveal: Double Beta Ray Bill's Power.
strange-supreme,2,1,Gains +2 Power from merging. End of Turn: Merge one of your created cards into this.
strong-guy,3,3,Ongoing: +6 Power if your hand has 1 or fewer cards.
stryfe,3,7,"If your opponent has 12+ Power here at the end of any turn, destroy this."
subterranean-summons,1,0,On Reveal: Give each created card in your hand -1 Cost or +3 Power.
summoning-ritual-1,0,0,On Reveal: Merge your highest-Power destroyed card with Dormammu to continue. (step 1/3)
summoning-ritual-2,1,0,On Reveal: Dormammu steals 1 Power from EACH card here to continue. (step 2/3)
summoning-ritual-3,2,0,On Reveal: Destroy 2 of your characters here to summon Dormammu. (step 3/3)
sunspot,1,0,End of Turn: Gain +1 Power for each unspent Energy.
super-adaptoid,3,5,On Reveal: Steal the text from an enemy Activate card here.
super-skrull,4,2,Ongoing: Has the Ongoing effects of all enemy cards.
supergiant,4,7,On Reveal: All cards played next turn don't reveal until the game ends.
superiorspiderman,0,0,!none
surge,2,1,"On Reveal: Give the top card of your deck -1 Cost and +1 Power. After you play it, repeat this ability."
surtur,3,5,"After you play a card with 10 or more Power, this gains +2 Power."
swarm,2,3,"When you discard this, add two copies that cost 0 to your hand."
sword-master,3,6,On Reveal: Discard an odd-costed card from your hand.
symbiote-spider-man,4,7,Activate: Merge your lowest-Cost card here with this. Copy its text like it just revealed.
symbiotespidermanwebslingers,0,0,!none
tao-mandala,2,0,On Reveal: Copy the text of one of your Ongoing cards here onto your other characters here.
taskmaster,6,0,On Reveal: Set this card's Power equal to that of the last card you played. (if able)
taskmasterthunderbolts,0,0,!none
temporal-manipulation,1,0,On Reveal: Give Agamotto +3 Power. Put him into your hand if he's not in play.
terrax-the-tamer,3,4,"On Reveal: For each location, shuffle a Rock into the losing player's deck."
thaddeus-ross,2,2,"End of Turn: If your opponent has unspent Energy, draw a card with 10 or more Power."
thanos,6,12,Game Start: Shuffle the six Infinity Stones into your deck.
the-ancient-one,3,5,On Reveal: Add Tao Mandala to your hand.
the-fallen-one,5,5,On Reveal: Set your Max Energy equal to this card's Power.
the-first-ghost-rider,2,6,On Reveal: Discard the lowest-Power card from your hand. Remove that card's Power from this.
the-hood,1,-3,On Reveal: Add a Demon to your hand.
the-hunger,1,0,On Reveal: Horde +3.
the-infinaut,6,20,"If you played a card last turn, you can't play this."
the-living-tribunal,6,9,Ongoing: Split your total Power evenly among all locations.
the-thing-first-steps,5,6,"End of Turn: +2 Power. Once per game, if your side here is full, destroy an enemy card here with less Power."
thena,2,0,End of Turn: +3 Power if you played (exactly) 2 cards.
thor,3,4,On Reveal: Shuffle Mjolnir into your deck.
thoravengers,0,0,!none
time-stone,1,1,On Reveal: Draw a card. Give Thanos -1 Cost.
titania,1,5,"After ANY card is played here, this card switches sides."
toad,2,3,On Reveal: Move the last card you played to this location.
tombstone,4,6,Costs 1 if an enemy card was destroyed last turn.
topaz,3,5,"After you play a card here, move it to the middle location."
toxie-doxie,2,3,On Reveal: Give 2 characters in your hand +2 Power. You can't play them next turn.
toxiedoxiethunderbolts,0,0,!none
toxin,2,2,On Reveal: Return your other cards here to your hand. +2 Power for each returned.
typhoid-mary,4,10,Ongoing: Your other cards here have -2 Power.
u-s-agent,2,3,"Ongoing: 4, 5, and 6-Cost cards here have -3 Power."
uatu-the-watcher,1,2,Game Start: You can see the unrevealed locations.
ultron,6,8,On Reveal: Deploy four 2-Power Drones to each other location.
ultron-mind-stone,2,2,Ongoing: Your On Reveal abilities here happen twice.
ultron-power-stone,2,1,On Reveal: Double Infinity Ultron's Power.
ultron-reality-stone,2,1,On Reveal: Add a Drone here. Set its Power to Infinity Ultron's.
ultron-soul-stone,2,3,"On Reveal: For each of your full locations, give one of your cards there +2 Power."
ultron-space-stone,2,5,On Reveal: Move the lowest-Power enemy card here to the location of Infinity Ultron.
ultron-time-stone,2,3,On Reveal: Put a card from your hand here.
uncle-ben,1,2,"When this card is destroyed, replace it with Spider-Man."
valentina,2,3,On Reveal: Add a random 6-Cost card to your hand. Give it -2 Cost and -2 Power.
valentinathunderbolts,0,0,!none
valkyrie,5,3,On Reveal: Set ALL cards here to 3 Power.
venom,3,3,On Reveal: Destroy your other cards here. Add their Power to this card.
vibranium,1,4,Ongoing: Can't be destroyed.
vibroshockgauntlets,0,0,!none
victoria-hand,2,3,Ongoing: Your cards that were created in your hand have +2 Power.
viper,3,4,On Reveal: One of your other cards here with the lowest Power switches sides.
vision,5,8,You can move this each turn.
visionavengers,0,0,!none
viv-vision,3,2,"At the start of each turn, give all cards in your hand +1 Power if you're winning here. Otherwise, move this to another location."
vulture,1,2,"When this card moves, +3 Power."
war-machine,4,6,Ongoing: Nothing can stop you from playing cards anywhere.
warlock,3,3,"Activate: For each unspent Energy, give a card in your hand -1 Cost."
warpath,4,5,"Ongoing: If any of your locations are empty, +5 Power."
wave,3,5,On Reveal: All cards cost a maximum of 4 until the end of next turn.
websling,0,0,!none
werewolf-by-night,3,3,"After you play a card, move there to gain +2 Power if it has an On Reveal."
white-queen,3,4,On Reveal: Copy the card that costs the most from your opponent's hand into your hand.
white-tiger,5,1,On Reveal: Add a 9-Power Tiger to another location.
white-widow,2,2,On Reveal: Add a Widow's Kiss to your opponent's side of this location.
whitequeenbrotherhoodofmutants,0,0,!none
wiccan,4,6,"On Reveal: If you've spent all your Energy on previous turns, +2 Max Energy."
widow-s-bite,0,-1,"While this is in your hand, you can't draw cards."
widow-s-kiss,0,-4,Destroy this when your side of this location is full.
winds-of-watoomb,2,0,On Reveal: Afflict an enemy card here with -5 Power and move it right.
wintersoldierthunderbolts,0,0,!none
witchfire,2,3,"On Reveal: Your opponent draws a card, increase its cost by 1."
wolfsbane,3,2,On Reveal: +2 Power for each other card you have here.
wolverine,2,3,"When this is discarded or destroyed, regenerate it with +2 Power at a random location."
wolverinexmen,0,0,!none
wong,4,2,Ongoing: Your On Reveal abilities here happen twice.
x-23,1,2,"When this is discarded or destroyed, regenerate it at a random location and you get +1 Energy next turn."
xorn,2,3,"After ANY 3 or 4-Cost card is played here, move it to another location."
yellowjacket,0,2,On Reveal: Afflict your other cards here with -1 Power.
yo-yo,1,2,"When this card moves, move it back with +1 Power."
yondu,1,2,On Reveal: Banish the card that costs the least in your opponent's deck.
zabu,1,1,On Reveal: Give each 4-Cost card in your deck -1 Cost.
zero,1,3,On Reveal: Remove the abilities on the next card you play.
zombie-captain-marvel,4,4,Activate: Destroy your other cards here to get +3 Power for each. Move to a location you're losing.
zombie-galacti,7,4,Start of Game: Choose 6 other cards in your deck. On Reveal: Transform those cards into copies of this.
zombie-giant-man,5,3,"On Reveal: Horde +1, then this gains Power equal to your Zombie Horde."
zombie-mister-fantastic,2,2,On Reveal: Horde +2. Activate: Give 4 of your created cards +1 Power.
zombie-power-man,2,4,"End of Turn: If you're winning here, discard the leftmost card from your hand."
zombie-scarlet-witch,3,2,"After you play a card here, Horde +2."
zombie-sentry,3,4,On Reveal: Horde +1 for each of your cards at the right location.
